latitude,longitude
48.87436,2.30786
48.83989,2.2772
48.85353,2.35635
48.83992,2.29982
48.88423,2.361
48.89218,2.34157
48.8855,2.32421
48.89073,2.32445
48.88206,2.33232
48.85314,2.36755
48.85461,2.36807
48.85463,2.2937
48.8421,2.30308
48.89246,2.34633
48.871361,2.363796
48.83731,2.3078
48.84928,2.38197
48.859211,2.376993
48.85612,2.33985
48.85844,2.35513
48.85541,2.33462
48.86294,2.3794
48.86517,2.35706
48.85037,2.32416
48.85646,2.36513
48.86614,2.36862
48.87355,2.31135
48.85831,2.35708
48.86952,2.34702
48.88728,2.3548
48.85046,2.34814
48.86575,2.36199
48.89193,2.32177
48.85332,2.38128
48.87792,2.37411
48.88614,2.34626
48.86936,2.2961
48.83508,2.36035
48.86008,2.36857
48.87517,2.28893
48.85811,2.3552
48.84781,2.29411
48.85935,2.36406
48.85357,2.36433
48.85174,2.3911
48.84603,2.28103
48.86435,2.35125
48.86538,2.3333
48.85468,2.29338
48.84737,2.38684
48.88588,2.33619
48.88217,2.37035
48.85881,2.35483
48.85642,2.37417
48.8241,2.36206
48.85269,2.33234
48.85387,2.3613
48.87089,2.35253
48.84271,2.26835
48.88905,2.36381
48.86819,2.41138
48.86869,2.3814
48.88785,2.32766
48.88224,2.33744
48.84804,2.35307
48.83636,2.35624
48.87039,2.37236
48.8768,2.39288
48.85938,2.30479
48.83477,2.29865
48.87467,2.31912
48.87031,2.36341
48.87983,2.33191
48.85212,2.26412
48.8884,2.33399
48.89275,2.3497
48.86348,2.33945
48.83993,2.25162
48.84773,2.34031
48.87484,2.35478
48.85802,2.37778
48.88224,2.33647
48.87706,2.38896
48.85709,2.27464
48.8643,2.29638
48.85298,2.37952
48.87278,2.3947
48.86616,2.28357
48.85086,2.3752
48.86587,2.38193
48.86903,2.38538
48.84013,2.32174
48.83674,2.29437
48.86389,2.34633
48.87068,2.34034
48.87064,2.36176
48.85698,2.33202
45.039761,-0.559535
44.81606,-0.77703
44.81545,-0.54808
44.83871,-0.56846
44.83,-0.58818
44.88214,-0.49716
44.87653,-0.59614
44.83472,-0.57507
44.83611,-0.5664
44.84782,-0.58105
44.79326,-0.70482
44.83882,-0.56887
44.84256,-0.57794
44.83413,-0.56988
44.85529,-0.5854
44.84846,-0.57307
44.83422,-0.57492
44.83232,-0.56843
44.80781,-0.59206
44.84085,-0.57874
44.84598,-0.5897
44.80493,-0.57313
44.81149,-0.55825
44.83907,-0.57529
44.83724,-0.59502
44.81562,-0.54787
44.81443,-0.54876
44.82905,-0.60039
44.81349,-0.54827
44.85643,-0.58467
44.88074,-0.50103
44.8474,-0.59419
44.83354,-0.58193
44.85447,-0.582
44.83673,-0.56759
44.86238,-0.50698
44.89443,-0.74962
44.83476,-0.57497
44.84164,-0.58112
44.84104,-0.57563
44.81099,-0.59954
44.80956,-0.5994
44.83194,-0.64164
44.8542,-0.59581
44.93339,-0.75739
44.85861,-0.55997
44.83303,-0.56214
44.81681,-0.55138
44.85655,-0.57755
44.81058,-0.59837
44.82358,-0.59112
44.8599,-0.56237
44.84011,-0.5586
44.88262,-0.70032
44.83834,-0.57026
44.83856,-0.5751
44.83265,-0.56627
44.8732,-0.60602
44.8327,-0.56154
44.87645,-0.53383
44.83745,-0.56935
44.8748,-0.60658
44.84219,-0.61712
44.84041,-0.56786
44.82809,-0.58822
44.8317,-0.59766
44.84174,-0.57125
44.876814204036165,-0.5349794787993988
44.83989,-0.61846
44.83165,-0.59787
44.83989,-0.60005
44.82429,-0.58376
44.8258,-0.58508
44.79283,-0.70515
44.82869,-0.57231
44.83397,-0.57057
44.82272,-0.5904
44.82797,-0.57163
44.82869,-0.57231
44.85987,-0.55503
44.86145,-0.51729
44.75524,-0.63437
44.85161,-0.57232
44.84522,-0.55173
44.77967,-0.69844
44.84526,-0.55298
44.83281,-0.57152
44.83637,-0.57021
44.90228,-0.50126
44.83642,-0.57658
44.85029,-0.57585
44.85234,-0.57523
44.89719,-0.75046
44.82535,-0.572
44.86044,-0.56009
44.84263,-0.57549
44.85946,-0.61238
44.83784,-0.5745
44.82859,-0.61801
44.82424,-0.55984
44.83087,-0.59847
44.83641,-0.56972
44.83305,-0.57509
44.84185,-0.586816
44.83305,-0.57509
44.83305,-0.57509
44.83305,-0.57509
44.81964,-0.57913
44.83388,-0.56279
44.83469,-0.5749
44.8355,-0.5701
44.80518,-0.62131
44.78298,-0.68522
44.85363,-0.5844
44.83305,-0.57509
44.87186,-0.63546
44.75465,-0.62296
44.75465,-0.62296
44.85366,-0.54184
44.8203,-0.60063
44.85257,-0.57291
44.835125,-0.570248
44.84681,-0.58847
44.75388,-0.6228
44.84897,-0.60515
44.83786,-0.56896
44.92077,-0.5036
44.81699,-0.56626
44.82643,-0.56136
44.92407,-0.75069
44.8253,-0.55866
44.80234,-0.57691
44.81942,-0.59304
44.8399,-0.59759
44.83249,-0.56125
44.83595,-0.57177
44.87985,-0.61724
44.84545,-0.58
44.84167,-0.57807
44.84388,-0.57882
44.85125,-0.62651
44.8001,-0.67728
44.86113,-0.55894
44.82192,-0.59135
44.85743,-0.56189
44.81725,-0.57777
44.83016,-0.57663
44.84107,-0.5719
44.8887,-0.65056
44.8365,-0.62269
44.78812,-0.56114
44.83712,-0.573
44.83424,-0.57517
44.83162,-0.57199
44.83413,-0.57048
44.85244,-0.57077
44.841572,-0.574387
44.8391,-0.62056
44.91049,-0.63625
44.83393,-0.57056
44.8183,-0.54321
44.84009,-0.58434
44.83172,-0.58355
44.835,-0.5639
44.81706,-0.57886
44.83746,-0.56734
44.85695,-0.56906
44.80818,-0.57476
44.89249,-0.71023
44.86227,-0.59378
44.85328,-0.56673
44.83747,-0.50635
44.8141,-0.5999
44.82529,-0.58908
44.81363,-0.56646
44.83888,-0.57421
44.83602,-0.56898
44.85045,-0.57452
44.81514,-0.55333
44.84565,-0.5509
44.84012,-0.57454
44.83314,-0.56932
44.83077,-0.59516
