id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48190115,"Chambre au calme, au cœur de Bordeaux",130213249,Laura,Bordeaux,Bordeaux Sud,44.8368,-0.56604,Private room,60,2,25,2022-07-23,1.34,1,33,10,
47881883,"Chambre double 
échoppe de charme",17508550,Marie-Amélie,Bordeaux,Caudran,44.85444,-0.59954,Private room,59,1,37,2022-09-07,2.82,1,359,35,
48196183,Appartement très accueillant de 65m2,53982153,Lhoucine,Merignac,Capeyron,44.85093,-0.66117,Entire home/apt,85,2,17,2021-09-26,0.91,1,0,1,
48204997,Chambre proche Campus et rocade,372132568,Roumy,Pessac,Saige,44.78955,-0.63557,Private room,34,1,6,2021-06-04,0.36,10,43,0,
48210013,Disponible au mois (1 à 7 mois) Saint-Pierre,42751605,Guillaume,Bordeaux,Centre ville (Bordeaux),44.84239,-0.5733,Entire home/apt,49,365,0,,,3,0,0,
47592663,Chambre Double  PANTANAL idéal pour 2 personnes,384081014,Maison Manège,Bordeaux,Centre ville (Bordeaux),44.84123,-0.58452,Private room,167,1,0,,,5,330,0,
47593219,Suite Double MANDALAY idéal pour 2 personnes,384081014,Maison Manège,Bordeaux,Centre ville (Bordeaux),44.84022,-0.58484,Private room,192,1,0,,,5,331,0,
47593746,Suite MASSAI MARA idéal pour 4 personnes,384081014,Maison Manège,Bordeaux,Centre ville (Bordeaux),44.83972,-0.58529,Private room,242,1,5,2022-04-26,0.26,5,338,3,
47593857,Suite ENCRE DE CHINE idéal pour 4 personnes,384081014,Maison Manège,Bordeaux,Centre ville (Bordeaux),44.83999,-0.58644,Private room,273,1,0,,,5,329,0,
48389947,Appartement  architecte centre ville Talence,126061942,Cécile,Talence,Talence,44.81438,-0.58827,Entire home/apt,62,3,77,2022-09-10,4.14,2,106,45,
48390143,FLORE,196804784,Villa Erizio,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83342,-0.58369,Entire home/apt,140,1,29,2022-07-10,1.90,10,317,23,33063005031B2
48390886,Belle maison bordelaise + jardin proche du tram,9557812,Katrin,Bordeaux,La Bastide,44.8484,-0.54161,Entire home/apt,100,365,2,2021-08-14,0.12,1,0,0,
48390924,SONGE,196804784,Villa Erizio,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83289,-0.58424,Entire home/apt,149,1,4,2021-12-18,0.31,10,312,2,33063005032B8
47881965,Bord'eau - Appart standing 70m2 avec parking,72691486,Arnaud,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85278,-0.5684,Entire home/apt,119,90,0,,,92,364,0,33063000830D9
47900198,T3 zola - terrasse,33490669,Pauline & Alison,Bordeaux,Centre ville (Bordeaux),44.84795,-0.58333,Entire home/apt,407,1,29,2022-09-11,1.55,10,93,17,3306300502070
